KEGGID	ENTREZID	DESCRPTION
1	hsa00010	10327	Glycolysis / Gluconeogenesis
2	hsa00010	124	Glycolysis / Gluconeogenesis
3	hsa00010	125	Glycolysis / Gluconeogenesis
4	hsa00010	126	Glycolysis / Gluconeogenesis
5	hsa00010	127	Glycolysis / Gluconeogenesis
6	hsa00010	128	Glycolysis / Gluconeogenesis
7	hsa00010	130	Glycolysis / Gluconeogenesis
8	hsa00010	130589	Glycolysis / Gluconeogenesis
9	hsa00010	131	Glycolysis / Gluconeogenesis
10	hsa00010	160287	Glycolysis / Gluconeogenesis
11	hsa00010	1737	Glycolysis / Gluconeogenesis
12	hsa00010	1738	Glycolysis / Gluconeogenesis
13	hsa00010	2023	Glycolysis / Gluconeogenesis
14	hsa00010	2026	Glycolysis / Gluconeogenesis
15	hsa00010	2027	Glycolysis / Gluconeogenesis
16	hsa00010	217	Glycolysis / Gluconeogenesis
17	hsa00010	218	Glycolysis / Gluconeogenesis
18	hsa00010	219	Glycolysis / Gluconeogenesis
19	hsa00010	2203	Glycolysis / Gluconeogenesis
20	hsa00010	221	Glycolysis / Gluconeogenesis
21	hsa00010	222	Glycolysis / Gluconeogenesis
22	hsa00010	223	Glycolysis / Gluconeogenesis
23	hsa00010	224	Glycolysis / Gluconeogenesis
24	hsa00010	226	Glycolysis / Gluconeogenesis
25	hsa00010	229	Glycolysis / Gluconeogenesis
26	hsa00010	230	Glycolysis / Gluconeogenesis
27	hsa00010	2538	Glycolysis / Gluconeogenesis
28	hsa00010	2597	Glycolysis / Gluconeogenesis
29	hsa00010	26330	Glycolysis / Gluconeogenesis
30	hsa00010	2645	Glycolysis / Gluconeogenesis
31	hsa00010	2821	Glycolysis / Gluconeogenesis
32	hsa00010	3098	Glycolysis / Gluconeogenesis
33	hsa00010	3099	Glycolysis / Gluconeogenesis
34	hsa00010	3101	Glycolysis / Gluconeogenesis
35	hsa00010	387712	Glycolysis / Gluconeogenesis
36	hsa00010	3939	Glycolysis / Gluconeogenesis
37	hsa00010	3945	Glycolysis / Gluconeogenesis
38	hsa00010	3948	Glycolysis / Gluconeogenesis
39	hsa00010	441531	Glycolysis / Gluconeogenesis
40	hsa00010	501	Glycolysis / Gluconeogenesis
41	hsa00010	5105	Glycolysis / Gluconeogenesis
42	hsa00010	5106	Glycolysis / Gluconeogenesis
43	hsa00010	5160	Glycolysis / Gluconeogenesis
44	hsa00010	5161	Glycolysis / Gluconeogenesis
45	hsa00010	5162	Glycolysis / Gluconeogenesis
46	hsa00010	5211	Glycolysis / Gluconeogenesis
47	hsa00010	5213	Glycolysis / Gluconeogenesis
48	hsa00010	5214	Glycolysis / Gluconeogenesis
49	hsa00010	5223	Glycolysis / Gluconeogenesis
50	hsa00010	5224	Glycolysis / Gluconeogenesis
51	hsa00010	5230	Glycolysis / Gluconeogenesis
52	hsa00010	5232	Glycolysis / Gluconeogenesis
53	hsa00010	5236	Glycolysis / Gluconeogenesis
54	hsa00010	5313	Glycolysis / Gluconeogenesis
55	hsa00010	5315	Glycolysis / Gluconeogenesis
56	hsa00010	55276	Glycolysis / Gluconeogenesis
57	hsa00010	55902	Glycolysis / Gluconeogenesis
58	hsa00010	57818	Glycolysis / Gluconeogenesis
59	hsa00010	669	Glycolysis / Gluconeogenesis
60	hsa00010	7167	Glycolysis / Gluconeogenesis
61	hsa00010	80201	Glycolysis / Gluconeogenesis
62	hsa00010	83440	Glycolysis / Gluconeogenesis
63	hsa00010	84532	Glycolysis / Gluconeogenesis
64	hsa00010	8789	Glycolysis / Gluconeogenesis
65	hsa00010	92483	Glycolysis / Gluconeogenesis
66	hsa00010	92579	Glycolysis / Gluconeogenesis
67	hsa00010	9562	Glycolysis / Gluconeogenesis
68	hsa00020	1431	Citrate cycle (TCA cycle)
69	hsa00020	1737	Citrate cycle (TCA cycle)
70	hsa00020	1738	Citrate cycle (TCA cycle)
71	hsa00020	1743	Citrate cycle (TCA cycle)
72	hsa00020	2271	Citrate cycle (TCA cycle)
73	hsa00020	3417	Citrate cycle (TCA cycle)
74	hsa00020	3418	Citrate cycle (TCA cycle)
75	hsa00020	3419	Citrate cycle (TCA cycle)
76	hsa00020	3420	Citrate cycle (TCA cycle)
77	hsa00020	3421	Citrate cycle (TCA cycle)
78	hsa00020	4190	Citrate cycle (TCA cycle)
79	hsa00020	4191	Citrate cycle (TCA cycle)
80	hsa00020	47	Citrate cycle (TCA cycle)
81	hsa00020	48	Citrate cycle (TCA cycle)
82	hsa00020	4967	Citrate cycle (TCA cycle)
83	hsa00020	50	Citrate cycle (TCA cycle)
84	hsa00020	5091	Citrate cycle (TCA cycle)
85	hsa00020	5105	Citrate cycle (TCA cycle)
86	hsa00020	5106	Citrate cycle (TCA cycle)
87	hsa00020	5160	Citrate cycle (TCA cycle)
88	hsa00020	5161	Citrate cycle (TCA cycle)
89	hsa00020	5162	Citrate cycle (TCA cycle)
90	hsa00020	55753	Citrate cycle (TCA cycle)
91	hsa00020	6389	Citrate cycle (TCA cycle)
92	hsa00020	6390	Citrate cycle (TCA cycle)
93	hsa00020	6391	Citrate cycle (TCA cycle)
94	hsa00020	6392	Citrate cycle (TCA cycle)
95	hsa00020	8801	Citrate cycle (TCA cycle)
96	hsa00020	8802	Citrate cycle (TCA cycle)
97	hsa00020	8803	Citrate cycle (TCA cycle)
98	hsa00030	132158	Pentose phosphate pathway
99	hsa00030	2203	Pentose phosphate pathway
100	hsa00030	221823	Pentose phosphate pathway
101	hsa00030	226	Pentose phosphate pathway
102	hsa00030	229	Pentose phosphate pathway
103	hsa00030	22934	Pentose phosphate pathway
104	hsa00030	230	Pentose phosphate pathway
105	hsa00030	2539	Pentose phosphate pathway
106	hsa00030	25796	Pentose phosphate pathway
107	hsa00030	2821	Pentose phosphate pathway
108	hsa00030	414328	Pentose phosphate pathway
109	hsa00030	51071	Pentose phosphate pathway
110	hsa00030	5211	Pentose phosphate pathway
111	hsa00030	5213	Pentose phosphate pathway
112	hsa00030	5214	Pentose phosphate pathway
